Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,Latitude,Longitude,Conc,Version
13,9,2,19,1,1,608994.8580871157,4432052.542004352,40.03165772094033,-109.72253939998171,1309S19ES,AGRC V.1
13,9,2,19,1,1,609003.620766738,4431651.6468432285,40.02804552093992,-109.72250409998172,1309S19ES,AGRC V.1
13,9,2,19,1,1,608601.5957275031,4431645.890256118,40.02804551092825,-109.727215599982,1309S19ES,AGRC V.1
13,9,2,19,1,1,608199.570516268,4431640.176032864,40.02804569091681,-109.7319270999823,1309S19ES,AGRC V.1
13,9,2,19,1,1,607797.537201319,4431634.461874036,40.02804568090559,-109.73663869998259,1309S19ES,AGRC V.1
13,9,2,19,1,1,607536.2019678553,4431630.758498083,40.02804567089838,-109.73970139998276,1309S19ES,AGRC V.1
13,9,2,19,1,1,607238.7689766587,4431692.758867963,40.02864200089042,-109.74317619998297,1309S19ES,AGRC V.1
13,9,2,19,1,1,607228.9338254501,4431694.81824082,40.028661800890156,-109.74329109998297,1309S19ES,AGRC V.1
13,9,2,19,1,1,607186.6250704956,4432015.1464788085,40.03155256088953,-109.74373389998298,1309S19ES,AGRC V.1
13,9,2,19,1,1,607184.5738932402,4432141.808590686,40.032693740889684,-109.74373699998299,1309S19ES,AGRC V.1
13,9,2,19,1,1,607195.9029862214,4432246.139554822,40.03363207089015,-109.74358699998297,1309S19ES,AGRC V.1
13,9,2,19,1,1,607220.2986935086,4432331.59098827,40.03439868089094,-109.74328699998297,1309S19ES,AGRC V.1
13,9,2,19,1,1,607561.7787683946,4433152.961680631,40.041753750901535,-109.73914919998269,1309S19ES,AGRC V.1
13,9,2,19,1,1,607489.1407846457,4433067.185742351,40.0409903808994,-109.74001469998277,1309S19ES,AGRC V.1
13,9,2,19,1,1,607365.8496700831,4432933.674014394,40.039803470895855,-109.74148169998283,1309S19ES,AGRC V.1
13,9,2,19,1,1,607358.6572752617,4432926.358429701,40.039738490895644,-109.74156719998282,1309S19ES,AGRC V.1
13,9,2,19,1,1,607358.5861239079,4432931.393192573,40.039783850895645,-109.74156719998282,1309S19ES,AGRC V.1
13,9,2,19,1,1,607354.8993354589,4433196.495000095,40.04217224089597,-109.74156649998284,1309S19ES,AGRC V.1
13,9,2,19,1,1,607354.8708169875,4433198.512901892,40.04219042089597,-109.74156649998284,1309S19ES,AGRC V.1
13,9,2,19,1,1,607378.2797929235,4433233.874353721,40.04250596089666,-109.7412862999828,1309S19ES,AGRC V.1
13,9,2,19,1,1,607622.9856746193,4433237.218664187,40.04250489090335,-109.73841789998264,1309S19ES,AGRC V.1
13,9,2,19,1,1,607625.9971302046,4433237.261331695,40.042504890903444,-109.73838259998263,1309S19ES,AGRC V.1
13,9,2,19,1,1,607561.7787683946,4433152.961680631,40.041753750901535,-109.73914919998269,1309S19ES,AGRC V.1
13,9,2,19,1,1,607220.2986935086,4432331.59098827,40.03439868089094,-109.74328699998297,1309S19ES,AGRC V.1
13,9,2,19,1,1,607313.0054153854,4432585.024309604,40.036669710893854,-109.7421586999829,1309S19ES,AGRC V.1
13,9,2,19,1,1,607335.7743929005,4432627.790250341,40.03705203089455,-109.74188479998286,1309S19ES,AGRC V.1
13,9,2,19,1,1,607373.7372944764,4432666.594500149,40.03739673089563,-109.74143349998285,1309S19ES,AGRC V.1
13,9,2,19,1,1,607404.7455544414,4432695.108089143,40.03764962089652,-109.74106539998282,1309S19ES,AGRC V.1
13,9,2,19,1,1,607408.7726558476,4432832.76827482,40.03888909089684,-109.74099539998282,1309S19ES,AGRC V.1
13,9,2,19,1,1,607726.1856169463,4433238.681523046,40.04250489090617,-109.73720819998258,1309S19ES,AGRC V.1
13,9,2,19,1,1,607756.2660514101,4433239.108177085,40.042504890907026,-109.73685559998256,1309S19ES,AGRC V.1
13,9,2,19,1,1,607776.5357943771,4433239.395745706,40.04250489090758,-109.73661799998254,1309S19ES,AGRC V.1
13,9,2,19,1,1,607826.996877282,4433240.111876517,40.04250489090899,-109.73602649998249,1309S19ES,AGRC V.1
13,9,2,19,1,1,608158.1893923618,4433244.781542383,40.04250454091826,-109.73214429998227,1309S19ES,AGRC V.1
13,9,2,19,1,1,608563.0587182457,4433253.915449457,40.04253479092976,-109.72739789998197,1309S19ES,AGRC V.1
13,9,2,19,1,1,608967.919284809,4433263.0708292965,40.04256504094149,-109.72265159998167,1309S19ES,AGRC V.1
13,9,2,19,1,1,608977.0117435299,4432858.244066589,40.03891739094111,-109.72261309998169,1309S19ES,AGRC V.1
13,9,2,19,1,1,608986.0953063692,4432453.4362930665,40.0352699109407,-109.72257469998168,1309S19ES,AGRC V.1
13,9,2,19,1,1,608994.8580871157,4432052.542004352,40.03165772094033,-109.72253939998171,1309S19ES,AGRC V.1
13,9,2,19,1,1,609003.620766738,4431651.6468432285,40.02804552093992,-109.72250409998172,1309S19ES,AGRC V.1
13,9,2,19,1,1,608601.5957275031,4431645.890256118,40.02804551092825,-109.727215599982,1309S19ES,AGRC V.1
13,9,2,19,1,1,608199.570516268,4431640.176032864,40.02804569091681,-109.7319270999823,1309S19ES,AGRC V.1
13,9,2,19,1,1,607797.537201319,4431634.461874036,40.02804568090559,-109.73663869998259,1309S19ES,AGRC V.1
13,9,2,19,1,1,607536.2019678553,4431630.758498083,40.02804567089838,-109.73970139998276,1309S19ES,AGRC V.1
13,9,2,19,1,1,607238.7689766587,4431692.758867963,40.02864200089042,-109.74317619998297,1309S19ES,AGRC V.1
13,9,2,19,1,1,607228.9338254501,4431694.81824082,40.028661800890156,-109.74329109998297,1309S19ES,AGRC V.1
13,9,2,19,1,1,607186.6250704956,4432015.1464788085,40.03155256088953,-109.74373389998298,1309S19ES,AGRC V.1
13,9,2,19,1,1,607184.5738932402,4432141.808590686,40.032693740889684,-109.74373699998299,1309S19ES,AGRC V.1
13,9,2,19,1,1,607195.9029862214,4432246.139554822,40.03363207089015,-109.74358699998297,1309S19ES,AGRC V.1
13,9,2,19,1,1,607220.2986935086,4432331.59098827,40.03439868089094,-109.74328699998297,1309S19ES,AGRC V.1
13,9,2,19,1,1,607561.7787683946,4433152.961680631,40.041753750901535,-109.73914919998269,1309S19ES,AGRC V.1
13,9,2,19,1,1,607489.1407846457,4433067.185742351,40.0409903808994,-109.74001469998277,1309S19ES,AGRC V.1
13,9,2,19,1,1,607365.8496700831,4432933.674014394,40.039803470895855,-109.74148169998283,1309S19ES,AGRC V.1
13,9,2,19,1,1,607358.6572752617,4432926.358429701,40.039738490895644,-109.74156719998282,1309S19ES,AGRC V.1
13,9,2,19,1,1,607358.5861239079,4432931.393192573,40.039783850895645,-109.74156719998282,1309S19ES,AGRC V.1
13,9,2,19,1,1,607354.8993354589,4433196.495000095,40.04217224089597,-109.74156649998284,1309S19ES,AGRC V.1
13,9,2,19,1,1,607354.8708169875,4433198.512901892,40.04219042089597,-109.74156649998284,1309S19ES,AGRC V.1
13,9,2,19,1,1,607378.2797929235,4433233.874353721,40.04250596089666,-109.7412862999828,1309S19ES,AGRC V.1
13,9,2,19,1,1,607622.9856746193,4433237.218664187,40.04250489090335,-109.73841789998264,1309S19ES,AGRC V.1
13,9,2,19,1,1,607625.9971302046,4433237.261331695,40.042504890903444,-109.73838259998263,1309S19ES,AGRC V.1
13,9,2,19,1,1,607561.7787683946,4433152.961680631,40.041753750901535,-109.73914919998269,1309S19ES,AGRC V.1
1,5,2,2,1,2,609063.2293812705,4436587.52154721,40.07249759094974,-109.72097479998146,0105S02EU,AGRC V.1
1,5,2,2,1,2,609056.6885186539,4436598.138682855,40.072594070949584,-109.72104969998146,0105S02EU,AGRC V.1
1,5,2,2,1,2,609000.5613716083,4436675.146761622,40.07329498094805,-109.7216947999815,0105S02EU,AGRC V.1
1,5,2,2,1,2,608994.8103790539,4436683.037556787,40.0733668009479,-109.72176089998152,0105S02EU,AGRC V.1
1,5,2,2,1,2,608929.3669059094,4436701.511717188,40.07354167094601,-109.72252509998158,0105S02EU,AGRC V.1
1,5,2,2,1,2,608872.9583432847,4436717.437169684,40.07369241094438,-109.72318379998161,0105S02EU,AGRC V.1
1,5,2,2,1,2,608791.4533960326,4436727.738629307,40.07379573094204,-109.72413769998168,0105S02EU,AGRC V.1
1,5,2,2,1,2,608734.9355393623,4436718.594279352,40.07372066094038,-109.7248018999817,0105S02EU,AGRC V.1
1,5,2,2,1,2,608634.1936467453,4436646.410987998,40.07308347093734,-109.72599519998178,0105S02EU,AGRC V.1
1,5,2,2,1,2,608593.6905343161,4436570.654633686,40.072406320936054,-109.72648279998182,0105S02EU,AGRC V.1
1,5,2,2,1,2,608591.3901833104,4436742.117374215,40.07395106093627,-109.72648099998183,0105S02EU,AGRC V.1
1,5,2,2,1,2,608589.8158353509,4436858.676037339,40.07500116093642,-109.72647989998181,0105S02EU,AGRC V.1
1,5,2,2,1,2,608588.5411589815,4436953.697961659,40.075857230936535,-109.72647889998181,0105S02EU,AGRC V.1
1,5,2,2,1,2,608584.462799945,4437255.925967918,40.078580060936915,-109.72647599998179,0105S02EU,AGRC V.1
1,5,2,2,1,2,608576.5088077325,4437653.73730318,40.08216435093733,-109.72650249998178,0105S02EU,AGRC V.1
1,5,2,2,1,2,608572.9285242725,4438058.147193695,40.08580751093789,-109.72647659998177,0105S02EU,AGRC V.1
1,5,2,2,1,2,608643.4014659628,4438059.15635627,40.085807510939915,-109.72564999998173,0105S02EU,AGRC V.1
1,5,2,2,1,2,608974.4708561064,4438062.008665514,40.08579042094956,-109.72176709998148,0105S02EU,AGRC V.1
